epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.4222,0.60682,2.80769,1.005,0.00333,1,0.98318,0.97886,0.21156,3.00619,0.79757,8e-05,8e-05,8e-05
2,40.8508,0.44783,1.91335,0.89174,0.88932,1,0.99024,0.91659,0.37447,2.68166,0.8354,0.00017109,0.00017109,0.00017109
3,63.3309,0.41353,1.18436,0.85463,1,0.95694,0.995,0.94206,0.30576,2.50708,0.82,0.00025228,0.00025228,0.00025228
4,83.3549,0.37492,0.89626,0.85794,1,0.985,0.995,0.96856,0.2642,2.49706,0.82449,0.00032357,0.00032357,0.00032357
5,103.704,0.38657,0.89083,0.85599,0.99446,0.94737,0.9925,0.94824,0.40266,2.3713,0.90881,0.00038496,0.00038496,0.00038496
6,124.792,0.38095,0.93112,0.84915,1,0.92619,0.98818,0.93174,0.39491,2.3945,0.90031,0.00043645,0.00043645,0.00043645
7,149.24,0.37857,0.89022,0.84558,0.97719,0.94737,0.9925,0.948,0.29579,2.22255,0.87571,0.00047804,0.00047804,0.00047804
8,174.856,0.36684,0.88788,0.85023,0.98132,0.94737,0.9925,0.92965,0.32738,2.26146,0.8505,0.00050973,0.00050973,0.00050973
9,197.478,0.37816,0.86095,0.86348,0.98012,0.94737,0.9925,0.94803,0.33087,2.15304,0.86414,0.00053152,0.00053152,0.00053152
10,220.386,0.37163,0.82942,0.86927,1,0.83817,0.9925,0.96314,0.31919,2.33235,0.86743,0.00054341,0.00054341,0.00054341
11,239.863,0.26725,1.06832,0.79673,1,0.82447,0.96439,0.91149,0.34948,2.48702,0.88513,0.0005454,0.0005454,0.0005454
12,259.413,0.26794,1.03553,0.81504,1,0.82299,0.94639,0.90123,0.38375,2.45132,0.89652,0.00053749,0.00053749,0.00053749
13,281.897,0.27392,1.06461,0.79669,1,0.84753,0.96138,0.89495,0.40288,2.39781,0.90853,0.00051968,0.00051968,0.00051968
14,316.238,0.26609,1.02755,0.80493,1,0.97744,0.995,0.96239,0.26867,1.96475,0.8265,0.00049197,0.00049197,0.00049197
15,348.587,0.25255,0.9546,0.80233,1,0.98599,0.995,0.97533,0.236,1.65692,0.79826,0.00045436,0.00045436,0.00045436
16,376.967,0.22315,0.88461,0.7727,1,0.99052,0.995,0.94389,0.24392,1.55067,0.79584,0.00040685,0.00040685,0.00040685
17,400.315,0.23117,0.89069,0.79518,1,0.99588,0.995,0.96832,0.23628,1.49837,0.79539,0.00034944,0.00034944,0.00034944
18,426.044,0.21152,0.8535,0.82161,1,0.99654,0.995,0.995,0.21619,1.4487,0.79236,0.00028213,0.00028213,0.00028213
19,452.153,0.2108,0.86577,0.77975,1,0.9978,0.995,0.995,0.20052,1.35192,0.7882,0.00020492,0.00020492,0.00020492
20,480.295,0.19905,0.84217,0.78228,0.99865,1,0.995,0.995,0.18119,1.17465,0.78307,0.00011781,0.00011781,0.00011781
